N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
665;Directeur médical;"Médical - santé - Pharmaceutique ; Administration";Médical;Directeur;Doctorat médecine + DU management hospitalier;6 000€ → 12 000€/mois;Le directeur médical supervise l'organisation médicale d'un établissement de santé, garantit la qualité des soins et coordonne les équipes médicales.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;V;;;V;;L1302;;
666;Ergotherapeute;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'ergothérapeute aide les personnes en situation de handicap ou de maladie à retrouver leur autonomie dans les activités quotidiennes. Il évalue les capacités fonctionnelles, adapte l'environnement et préconise des aides techniques pour faciliter la vie au quotidien.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1403;;
667;Gynécologue obstétricien;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le gynécologue-obstétricien prend en charge la santé reproductive des femmes et assure le suivi des grossesses. Il réalise les accouchements, pratique des interventions chirurgicales gynécologiques et traite les pathologies de l'appareil génital féminin.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1111;;
668;Hydrothérapeute;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'hydrothérapeute utilise l'eau sous différentes formes (bains, jets, douches) à des fins thérapeutiques. Il soulage les douleurs chroniques, améliore la circulation et favorise la rééducation motrice grâce aux propriétés physiques et thermiques de l'eau.;ONISEP;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;V;V;;;;;;V;;D1203;;
669;Infirmier en pratique avancé;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'infirmier en pratique avancée (IPA) dispose d'un niveau de qualification élevé lui permettant de prendre en charge de manière autonome certains patients atteints de pathologies chroniques. Il assure le suivi, adapte les traitements et coordonne les parcours de soins.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;;;V;;V;;J1506;;
670;Infirmier(e);Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 (Diplôme d'État infirmier);1 900€ → 2 900€/mois;L'infirmier(e) assure les soins préventifs et curatifs auprès des patients, administre les traitements et collabore avec l'équipe médicale.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;V;J1504;;
671;Infirmier en bloc opératoire;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'infirmier de bloc opératoire (IBODE) assiste le chirurgien en salle d'opération. Il prépare l'instrumentation chirurgicale, veille à l'asepsie, anticipe les besoins du chirurgien et assure la sécurité du patient tout au long de l'intervention.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;N;F;J;V;V;;;;V;;V;;J1504;;
672;Infirmier anesthésiste;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'infirmier anesthésiste (IADE) prépare et administre les anesthésies générales ou locorégionales sous la responsabilité du médecin anesthésiste. Il surveille le patient pendant l'intervention, gère les complications et assure la surveillance post-anesthésique.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;N;F;J;V;V;;;;V;;V;;J1503;;
673;Ingénieur boimécanique;Médical - santé - Pharmaceutique;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs mécanique);3 000€ → 5 500€/mois;L'ingénieur en mécanique conçoit et développe des systèmes et composants mécaniques pour l'industrie. Il mène des études, simulations et tests.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;;V;V;;;;;V;;H2502;;
674;Ingénieur Biomédical;Médical - santé - Pharmaceutique;Installation et/ou maintenance;Opérationnel;Bac+5 (école d'ingénieurs biomédical);3 000€ → 5 500€/mois;L'ingénieur biomédical conçoit et maintient les équipements médicaux dans les hôpitaux. Il fait le lien entre la technologie médicale et les équipes soignantes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;;V;V;;;;;V;;H1206;;
675;Ingénieur Hospitalier;Médical - santé - Pharmaceutique;Installation et/ou maintenance;Opérationnel;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;L'ingénieur spécialisé en installation et/ou maintenance conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;;V;V;;;;;V;;A1307;;
676;Ingénieur d'électroradiologie médicale;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+5 (école d'ingénieurs électronique);3 000€ → 6 000€/mois;L'ingénieur électronique conçoit des circuits et systèmes électroniques pour des applications variées. Il supervise le développement et les tests.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;;;V;;;;
677;Médecin;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Doctorat en médecine (Bac+9 à Bac+11);4 500€ → 8 000€/mois;Le médecin diagnostique et traite les maladies, prescrit des traitements et coordonne les soins. Généraliste ou spécialiste, il est le pilier du système de santé.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;;;
678;Médecin légiste;Médical - santé - Pharmaceutique;Étude et expertise;Opérationnel;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;V;V;;V;;;;V;;J1110;;
679;Monteur vendeur en optique lunetterie;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le monteur-vendeur en optique lunetterie conseille les clients dans le choix de leurs montures et verres correcteurs. Il réalise les mesures optiques, monte les verres selon l'ordonnance et ajuste les lunettes pour un confort et une correction optimale.;ONISEP;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;V;;;;V;V;J1405;;
680;Naturopathe;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le naturopathe accompagne ses clients dans une démarche de santé naturelle et préventive. Il élabore des programmes personnalisés basés sur l'alimentation, la phytothérapie, la gestion du stress et les techniques corporelles pour soutenir les capacités d'autoguérison de l'organisme.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1409;;
681;Nutritioniste;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le nutritionniste conseille les patients sur leur alimentation pour prévenir ou traiter des problèmes de santé (obésité, diabète, maladies cardiovasculaires). Il établit des bilans nutritionnels, élabore des plans alimentaires adaptés et assure le suivi des patients.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1409;;
682;Nutritioniste sportif;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le nutritionniste sportif accompagne les sportifs dans l'optimisation de leur alimentation pour améliorer les performances et la récupération. Il adapte les apports nutritionnels selon les phases d'entraînement, les compétitions et les objectifs de chaque athlète.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1409;;
683;Ophtalmologue;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'ophtalmologue est un médecin spécialiste des maladies des yeux. Il réalise des examens de la vue, prescrit des corrections optiques, diagnostique et traite les pathologies oculaires (glaucome, cataracte, dégénérescence maculaire) et peut pratiquer des interventions chirurgicales.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1134;;
684;Opticien lunetier;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+2 (BTS Opticien-Lunetier);1 900€ → 3 500€/mois;L'opticien-lunetier réalise et vend des équipements optiques sur ordonnance, examine la vue et conseille les clients sur le choix des montures et verres.;ONISEP;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;V;;;V;;V;;V;;J1405;;
685;Orthopediste orthésiste;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'orthopédiste-orthésiste conçoit et fabrique sur mesure des appareillages orthopédiques (orthèses, corsets, semelles) pour compenser des déficiences musculo-squelettiques. Il prend les mesures du patient, réalise les appareils et assure les ajustements nécessaires.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1411;;
686;Orthophoniste;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+5 (Certificat de capacité orthophoniste);2 200€ → 4 000€/mois;L'orthophoniste prévient et traite les troubles du langage, de la parole et de la communication pour des patients de tous âges.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;J1406;;
687;Orthoptiste;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'orthoptiste rééduque les troubles de la vision binoculaire et de la motricité oculaire (strabisme, amblyopie, troubles de la convergence). Il réalise des bilans orthoptiques et mène des séances de rééducation pour améliorer la coordination des yeux.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1407;;
688;Osteopathe;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+5 (Diplôme d'État ostéopathe);2 000€ → 4 500€/mois;L'ostéopathe prévient et traite les troubles fonctionnels du corps par des manipulations manuelles, sans médicaments ni chirurgie.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;;;V;;V;;V;;J1408;;
689;Pédiatre;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Doctorat médecine + internat (Bac+11);5 000€ → 10 000€/mois;Le pédiatre assure le suivi médical des enfants de la naissance à l'adolescence, diagnostique leurs maladies et conseille les familles.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;V;;;;V;;J1115;;
690;Pédicure Podologue;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le pédicure-podologue traite les affections du pied : cors, durillons, ongles incarnés, mycoses. Il réalise des soins podologiques préventifs et curatifs, et confectionne des orthèses plantaires pour corriger les troubles de la statique et de la marche.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1409;;
692;Pharmacien;Médical - santé - Pharmaceutique;Médical;Opérationnel;Doctorat en pharmacie (Bac+6);3 500€ → 7 000€/mois;Le pharmacien délivre les médicaments, conseille les patients sur les traitements et veille à la sécurité thérapeutique. Il peut exercer en officine, hôpital ou industrie.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;V;;;V;;;;V;V;J1202;;
693;Podo-orthesiste;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le podo-orthésiste conçoit et fabrique des orthèses plantaires (semelles) sur mesure pour corriger les défauts posturaux et soulager les pathologies du pied et du dos. Il réalise l'empreinte du pied, usine les semelles et assure les ajustements.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;V;;V;;J1411;;
694;Préparateur en pharmacie;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le préparateur en pharmacie assiste le pharmacien dans la délivrance des médicaments et des produits de santé. Il prépare les ordonnances, conseille les clients sur les médicaments sans ordonnance, gère les stocks et réalise certaines préparations magistrales.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;V;;;;;;V;V;V;I1611;;
695;Directeur commerciale;Commerce;Stratégie;Entrepreneur - Profession libérale;Bac+5 (école de commerce);5 000€ → 10 000€/mois;Le directeur commercial définit la stratégie de vente, manage les équipes commerciales et pilote les objectifs de chiffre d'affaires.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;;V;;V;V;;;V;;M1715;;
696;Psychomotricien;Médical - santé - Pharmaceutique;Médical;Entrepreneur - Profession libérale;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le psychomotricien rééduque les troubles du mouvement, du comportement et de la relation au corps. Par des approches corporelles et sensorimotrices, il accompagne des patients souffrant de dyspraxie, de troubles du tonus, d'autisme ou de troubles psychosomatiques.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;;;V;;J1412;;
697;Radiophysicien en radiothérapie;Médical - santé - Pharmaceutique;Scientifique;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le radiophysicien en radiothérapie garantit la précision et la sécurité des traitements par irradiation des cancers. Il calcule les doses de rayonnement, programme les appareils de traitement, contrôle leur bon fonctionnement et veille à la radioprotection des patients et du personnel.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;V;V;;;;V;;V;;J1402;;
698;Responsable conseil brevet;"Médical - santé - Pharmaceutique ; Droit - justice";Juridique;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable conseil brevet conseille les entreprises sur la protection de leurs inventions. Il analyse la brevetabilité des innovations, rédige et dépose les brevets, surveille les droits de propriété intellectuelle et défend les intérêts de l'entreprise en cas de contentieux.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;;V;;;V;;;V;;G1805;;
699;Responsable d'études cliniques;"Médical - santé - Pharmaceutique ; Chimie - biologie - science";Scientifique;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable d'études cliniques organise et supervise les essais cliniques de nouveaux médicaments ou dispositifs médicaux. Il coordonne les équipes médicales, s'assure du respect des protocoles réglementaires, gère les données et rédige les rapports d'études.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;;V;;;V;;;V;;M1422;;
700;Responsable de fabrication et de conditionnement;"Médical - santé - Pharmaceutique ; Industrie";Production et fabrication;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable de fabrication et de conditionnement supervise la production de médicaments ou de dispositifs médicaux dans le respect des Bonnes Pratiques de Fabrication (BPF). Il manage les équipes, garantit la qualité, les délais et la conformité réglementaire.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;;V;;;V;;;V;;E1109;;
701;Sage femme;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+5 (Diplôme d'État sage-femme);2 500€ → 4 500€/mois;La sage-femme assure le suivi de grossesse, l'accouchement et la surveillance post-natale. Elle peut aussi consulter pour la gynécologie et la contraception.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;V;V;;;;V;;V;;J1104;;
702;Secrétaire médicale;Médical - santé - Pharmaceutique;Administratif;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;La secrétaire médicale gère l'organisation administrative d'un cabinet médical ou d'un service hospitalier. Elle accueille les patients, gère les rendez-vous, saisit les comptes rendus médicaux, traite la correspondance et assure la liaison avec les caisses d'assurance maladie.;ONISEP;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;V;V;;;;V;;V;;M1609;;
703;Technicien de fabrication;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien de fabrication pharmaceutique réalise les opérations de production de médicaments (pesée, mélange, mise en forme galénique). Il travaille en salle blanche dans le respect strict des procédures qualité et des Bonnes Pratiques de Fabrication.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;;;;;V;;V;V;I1316;;
704;Technicien en analyse médicale;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien en analyse médicale réalise des prélèvements biologiques et des analyses de laboratoire (hémogramme, bilan biochimique, examens bactériologiques). Il prépare les échantillons, utilise les automates d'analyse et transmet les résultats aux médecins.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;;;;;;V;;V;V;J1302;;
705;Technicien en analyse biomédicale;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien en analyse biomédicale effectue des analyses biologiques complexes sur des prélèvements humains. Spécialisé dans les techniques de biologie moléculaire, immunologie ou hématologie, il contribue au diagnostic des maladies et au suivi des traitements.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;;;;;;V;;V;V;;;
706;chef de car;"Transport - logistique - approvisionnement ; Cinéma - audiovisuel";Transport;Opérationnel;Permis D (transport en commun) + FIMO Voyageurs;1 600€ → 3 500€/mois;Le chef de car est un conducteur de car expérimenté qui assure également un rôle de coordination sur une ligne ou une tournée. Il prend en charge les groupes de voyageurs, gère les incidents en route et peut encadrer d'autres conducteurs sur son secteur.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;;;V;;;V;V;V;;H1233;;
707;Aiguilleur du rail sncf;"Transport - logistique - approvisionnement ; Aéronautique et transport aérien";Transport;Opérationnel;CAP à Bac+5 (école de mode, arts appliqués);1 700€ → 5 000€/mois;L'aiguilleur du rail SNCF oriente les trains sur le réseau ferroviaire en manœuvrant les aiguillages depuis un poste de commande. Il suit les circulations, communique avec les conducteurs et assure la fluidité du trafic ferroviaire en toute sécurité.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;V;;;V;;V;;;;
708;ambulancier;"Médical - santé - Pharmaceutique ; Transport - logistique - approvisionnement";Médical;Opérationnel;DEA (Diplôme d'État d'Ambulancier);1 700€ → 2 500€/mois;L'ambulancier transporte des patients vers des établissements de soins en garantissant leur sécurité. Il peut aussi réaliser des gestes de premiers secours.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;V;V;;;;V;V;;;J1305;;
709;Auteur compositeur interprete;Musique;Conception artistique;Entrepreneur - Profession libérale;Formation musicale variable + conservatoire;1 200€ → 6 000€/mois (très variable);L'auteur-compositeur-interprète (ACI) écrit les paroles, compose la musique et interprète ses propres chansons. Il gère aussi sa communication et son développement artistique.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1202;;
710;Booker-bookeuse;Musique;Commercial;Entrepreneur - Profession libérale;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le booker planifie et négocie les dates de concerts et les tournées des artistes musicaux. Il contacte les salles et les festivals, fixe les cachets et les conditions techniques, élabore les plannings et coordonne les équipes pour assurer le bon déroulement des événements.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;L1509;;
711;Bruiteur;Musique;Conception artistique;Opérationnel;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le bruiteur crée et enregistre les effets sonores qui accompagnent les images dans les films, séries et documentaires. Il reproduit à la main des sons réalistes (pas, portes, ambiances) synchronisés avec l'image, en utilisant des objets et des surfaces variées en studio.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;F;J;;V;V;;;V;;V;;L1507;;
712;Chanteur-chanteuse;Musique;Conception artistique;Entrepreneur - Profession libérale;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le chanteur-chanteuse interprète des œuvres musicales devant un public ou en studio d'enregistrement. Il ou elle travaille sa voix, apprend des répertoires variés, collabore avec des musiciens et des producteurs, et se produit lors de concerts, spectacles ou sessions d'enregistrement.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;V;;;V;;V;;L1204;;
713;Charge de production;Musique;Production et fabrication;Opérationnel;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le chargé de production musicale organise la réalisation concrète des projets artistiques (albums, concerts, tournées). Il gère le planning, le budget, les prestataires techniques, les relations avec les artistes et s'assure que chaque projet se déroule dans les meilleures conditions.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;V;;;V;;V;;H2507;;
714;Chef d'orchestre;Musique;Conception artistique;Manager;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le chef d'orchestre dirige un ensemble musical lors des répétitions et des concerts. Il étudie les partitions, élabore des interprétations artistiques, communique ses intentions aux musiciens par sa gestuelle et son regard, et garantit la cohésion sonore de l'orchestre.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;;;
715;livreur;Transport - logistique - approvisionnement;Transport;Opérationnel;Permis B (et permis C selon la catégorie);1 600€ → 2 200€/mois;Le livreur assure la livraison de colis, repas ou marchandises à domicile ou en point de collecte. Il optimise ses tournées et veille à la satisfaction des destinataires.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;;;;V;V;;V;N4105;;
716;Journaliste spécialisé;"Journalisme ; Communication";Communication;Opérationnel;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le journaliste spécialisé couvre un domaine particulier (sport, économie, science, politique, culture) avec une expertise approfondie. Il enquête, vérifie les informations auprès de sources expertes, rédige des articles ou réalise des reportages et intervient comme expert dans des émissions.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;E1106;;
717;Musicien intervenant;Musique;Conception artistique;Entrepreneur - Profession libérale;Formation musicale variable à Bac+5;1 200€ → 5 000€/mois (variable);Le musicien intervenant dispense des ateliers musicaux dans des établissements scolaires, des structures sociales ou des maisons de retraite. Il initie des publics non musiciens à la pratique musicale, adapte ses interventions aux différents contextes et favorise l'expression artistique.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;V;;;V;;V;;K2105;;
