Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
chargé de mission;"Enseignement ; Administration ; Commerce ; Environnement ; Humanitaire ; Politique ; Social";Formation - coaching;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le chargé de mission pilote des projets transversaux pour une organisation. Il analyse, propose des solutions et assure le suivi des actions définies par sa direction.;Bac+4 à Bac+5;2 500€ → 4 000€/mois;;Oui;;;Oui;;;Oui;Oui;M1402;;
collaborateur de groupe politique;Environnement;Communication;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le collaborateur de groupe politique soutient un groupe parlementaire dans son travail législatif et administratif.;Bac+4 à Bac+5 (droit, Sciences Po);2 500€ → 4 000€/mois;;;Oui;;;Oui;;Oui;;;;
consultant en affaires européennes;"Environnement ; Commerce ; Informatique - numérique - digital ; Industrie ; Banque - finance ; Administration";Communication;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le consultant en affaires européennes conseille sur les politiques et financements de l'UE et défend les intérêts de ses clients.;Bac+5 (droit européen, Sciences Po);3 000€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
diplomate;Environnement;Sécurité;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le diplomate représente son pays à l'étranger et négocie des accords internationaux entre États.;Bac+5 (Sciences Po, ENA/INSP, droit international);3 000€ → 7 000€/mois;;Oui;;Oui;Oui;;;Oui;;;;
Chargé de communication;"Communication ; Informatique - numérique - digital ; Commerce ; Banque - finance ; Assurance ; Administration ; Humanitaire ; Culture ; Médical - santé - Pharmaceutique ; Environnement";Conseil - consulting;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le chargé de communication produit des contenus variés pour les canaux internes et externes, participe aux événements et gère les outils digitaux.;Bac+3 à Bac+5 (communication);2 000€ → 3 800€/mois;;Oui;Oui;;;;;Oui;Oui;;;
inspecteur du travail;Environnement;Entretien - nettoyage;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'inspecteur du travail contrôle l'application du droit du travail dans les entreprises et accompagne les salariés et employeurs dans leurs obligations légales.;Concours inspecteur du travail (Bac+2) ou IRT;2 500€ → 4 500€/mois;Oui;Oui;;Oui;;;;Oui;;K1402;;
lobbyiste;Environnement;Sécurité;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le lobbyiste défend les intérêts d'une organisation auprès des décideurs politiques en argumentant et en suivant l'évolution législative.;Bac+5 (Sciences Po, droit, grandes écoles);3 000€ → 8 000€/mois;;Oui;;Oui;;;;Oui;Oui;E1103;;
responsable de la communication politique;"Environnement ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien";Sécurité;→ Fiche métier;Opérationnel;https://www.cidj.com/metiers/garde-chasse-garde-peche;;INTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le responsable communication définit et met en œuvre la stratégie de communication d'une organisation.;Bac+4 à Bac+5 (communication);2 800€ → 5 500€/mois;;Oui;;;Oui;;;Oui;;E1109;;
responsable des affaires publiques;"Communication ; Politique ; Administration";Communication;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le responsable des affaires publiques gère les relations entre une organisation et les pouvoirs publics. Il suit les évolutions réglementaires, lobbie auprès des institutions et pilote la communication institutionnelle.;Bac+5 (sciences po, communication institutionnelle);4 000€ → 8 000€/mois;;Oui;;;Oui;;;Oui;;K1417;;
Gardien du cimetière;Funéraire - mortuaire;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le gardien de cimetière assure la surveillance et l'entretien du site funéraire. Il accueille les familles, gère les concessions et coordonne les inhumations.;Pas de diplôme requis + formation terrain;1 600€ → 2 200€/mois;;;Oui;;;Oui;;Oui;;;;
DIRECTEUR MÉDIA;"Environnement ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction";Scientifique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le directeur du domaine scientifique dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;L1302;;
Chef des ventes;"Commerce ; Automobile ; Industrie";Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le chef des ventes manage une équipe de commerciaux. Il définit les objectifs de vente, accompagne ses vendeurs sur le terrain et analyse les résultats pour optimiser la performance.;Bac+3 à Bac+5 (commerce, management);3 500€ → 6 000€/mois;;Oui;Oui;;;Oui;;Oui;;D1505;;
Manager Rayon Viandes;"Grande distribution ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien";Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le manager rayon viandes gère le rayon boucherie d'une grande surface : commandes, découpe, présentation et management de l'équipe de bouchers.;CAP Boucherie à Bac+2;2 200€ → 3 500€/mois;;Oui;;Oui;;;;Oui;Oui;D1502;;
réalisateur VR (réalité virtuelle);Événementiel;Gestion de projet;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le réalisateur VR crée des expériences immersives en réalité virtuelle pour le divertissement ou la formation.;Bac+3 à Bac+5 (cinéma, multimédia);2 500€ → 5 000€/mois;;Oui;;Oui;Oui;;;Oui;;L1306;;
adjoint de direction;Fonction publique;Administratif;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;L'adjoint de direction seconde un directeur et assure l'interface entre la direction et les équipes.;Bac+3 à Bac+5;2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;;;
social media manager;"Fonction publique ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien";Relation sociale;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le social media manager définit la stratégie des réseaux sociaux, crée les contenus, gère les communautés et mesure les performances digitales.;Bac+3 à Bac+5 (communication, marketing digital);2 500€ → 4 500€/mois;;Oui;Oui;;Oui;;;Oui;;E1124;;
chocolatier-confiseur;Fonction publique;Médical;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;T;J;Le chocolatier-confiseur crée et fabrique des chocolats et confiseries artisanales en maîtrisant les techniques de tempérage et ganache.;CAP Chocolatier-confiseur à Bac Pro;1 700€ → 3 000€/mois;;;Oui;;;Oui;Oui;Oui;;;;
gérant;"Commerce ; Hôtellerie - restauration - gastronomie ; Voyages - tourisme";Stratégie;→ Fiche métier;Directeur;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le gérant dirige une entreprise ou un établissement en son nom propre ou pour le compte d'un mandant. Il prend les décisions commerciales, gère les équipes et assume la responsabilité des résultats.;Bac à Bac+5 selon secteur;2 000€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;C1303;;
guest relation manager;"Grande distribution ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien";Sécurité;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le guest relation manager assure la satisfaction des clients dans un hôtel de luxe. Il gère les plaintes et personnalise les séjours.;Bac+3 à Bac+5 (hôtellerie, tourisme);2 200€ → 4 000€/mois;Oui;Oui;;Oui;;;;Oui;;M1704;;
technicien d’essai;Grande distribution;Entretien - nettoyage;→ Fiche métier;Opérationnel;https://www.cidj.com/metiers/agent-agente-d-entretien-et-de-renovation;;ISFJ;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;Le technicien d'essai réalise des tests et mesures sur des produits ou équipements pour valider leur conformité et leurs performances.;Bac Pro à Bac+2 (mesures, industriel);2 000€ → 3 500€/mois;;;;;;Oui;;Oui;Oui;A1311;;
auxiliaire de vie sociale;Grande distribution;Commercial;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;L'auxiliaire de vie sociale accompagne les personnes dépendantes à domicile pour les actes essentiels de la vie : toilette, repas, déplacements.;DEAVS ou titre ADVF;1 550€ → 2 100€/mois;Oui;Oui;;;;Oui;Oui;;;K1306;;
puéricultrice;Puériculture;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;La puéricultrice prend en charge les enfants de 0 à 3 ans en crèche, surveille leur développement et accompagne les parents.;Bac+3 (Diplôme d'État de puéricultrice);2 000€ → 3 000€/mois;Oui;Oui;;;;;;Oui;Oui;J1507;;
automaticien;"Industrie ; Informatique - numérique - digital";Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;L'automaticien conçoit, installe et maintient des systèmes automatisés dans l'industrie. Il programme les automates, effectue les mises en service et résout les pannes.;Bac+2 à Bac+5 (automatisme, électronique);2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;H1208;;
concepteur numérique;"Informatique - numérique - digital ; Communication";Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ISFJ;Peu nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;Le concepteur numérique crée des interfaces, expériences utilisateurs ou contenus interactifs pour le web et les applications. Il maîtrise les outils de prototypage et de design d'interaction.;Bac+3 à Bac+5 (numérique, design);2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;;;
dessinateur industriel;"Industrie ; Aéronautique et transport aérien ; Automobile ; Bâtiment - construction";Conception mécanique;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le dessinateur industriel réalise les plans et schémas techniques de pièces ou systèmes mécaniques. Il utilise des logiciels de CAO et travaille en lien avec les bureaux d'études.;Bac+2 à Bac+3 (conception industrielle, CAO);2 200€ → 3 800€/mois;;Oui;;Oui;;;;Oui;Oui;H1202;;
ergonome;Grande distribution;Commercial;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;L'ergonome analyse les situations de travail pour adapter les postes et outils aux capacités humaines.;Bac+5 (Master ergonomie);2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;M1412;;
ingénieur en informatique industrielle;Hôtellerie - restauration - gastronomie;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;L'ingénieur spécialisé en administratif conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;;;
technicien qualité;Hôtellerie - restauration - gastronomie;Conseil - consulting;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le technicien qualité contrôle la conformité des produits ou services aux normes. Il gère les non-conformités et participe à l'amélioration continue.;Bac+2 à Bac+3 (qualité);2 000€ → 3 500€/mois;;;;;;Oui;;Oui;Oui;A1310;;
analyste SOC;"Hôtellerie - restauration - gastronomie ; Informatique - numérique - digital ; Banque - finance ; Commerce ; Industrie ; Administration";Commercial;→ Fiche métier;Directeur;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;S;F;J;L'analyste SOC surveille en temps réel les systèmes informatiques pour détecter et répondre aux incidents de sécurité.;Bac+3 à Bac+5 (cybersécurité);2 800€ → 5 500€/mois;;Oui;;;;Oui;;Oui;Oui;M1883;;
polisseur;"Artisanat ; Industrie ; Luxe";Production;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le polisseur lisse et fait briller des surfaces métalliques, en verre ou en pierre. Il travaille dans la bijouterie, l'orfèvrerie, la coutellerie ou l'industrie mécanique.;CAP Polissage à BMA;1 700€ → 2 800€/mois;;Oui;Oui;;;Oui;;;;H3405;;
chef de projet MOE;"Gestion de projet ; Industrie ; Bâtiment - construction ; Banque - finance ; Commerce ; Aéronautique et transport aérien ; Énergie ; Médical - santé - Pharmaceutique ; Administration ; Transport - logistique - approvisionnement";Conception gastronomique;→ Fiche métier;Opérationnel;;;ISFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;Le chef de projet MOE pilote la maîtrise d'œuvre technique d'un projet informatique. Il coordonne les équipes de développement et garantit la qualité des livrables.;Bac+4 à Bac+5 (informatique, génie logiciel);3 500€ → 6 500€/mois;;Oui;Oui;;;Oui;;;;H1233;;
chargé de communication;"Communication ; Informatique - numérique - digital ; Commerce ; Banque - finance ; Assurance ; Administration ; Humanitaire ; Culture ; Médical - santé - Pharmaceutique ; Environnement";Communication;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le chargé de communication produit des contenus variés pour les canaux internes et externes, participe aux événements et gère les outils digitaux.;Bac+3 à Bac+5 (communication);2 000€ → 3 800€/mois;;Oui;Oui;;;;;Oui;Oui;;;
hacker éthique;Humanitaire;Gestion de projet;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le hacker éthique teste la sécurité des systèmes informatiques avec l'autorisation de l'entreprise pour identifier les failles avant des acteurs malveillants.;Bac+3 à Bac+5 (informatique, cybersécurité);3 000€ → 6 500€/mois;;Oui;Oui;;;Oui;;Oui;;;;
Juristes;"Droit - justice ; Commerce ; Banque - finance ; Industrie ; Administration ; Informatique - numérique - digital ; Médical - santé - Pharmaceutique ; Assurance ; Immobilier ; Agroalimentaire";Communication;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Ce professionnel du secteur humanitaire intervient sur le terrain ou en coordination pour apporter aide et assistance aux populations en crise.;Bac+3 à Bac+5 (relations internationales, droit, ingénierie);1 800€ → 4 000€/mois;Oui;Oui;;Oui;;;;Oui;;K1903;;
Médecin humanitaire;Humanitaire;Médical;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Ce médecin spécialisé diagnostique et traite les pathologies de son domaine de spécialité, en milieu hospitalier ou en cabinet de ville.;Doctorat en médecine + internat (Bac+9 à Bac+11);5 000€ → 12 000€/mois;Oui;Oui;;Oui;;;;Oui;;J1123;;
Pro gamer;Sport;Stratégie;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le pro gamer est un joueur compétitif professionnel qui s'entraîne intensivement et participe à des tournois.;Pas de diplôme requis;1 500€ → 10 000€/mois (très variable);Oui;Oui;;Oui;;;;Oui;;M1861;;
modérateur;Humanitaire;Gestion de projet;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le modérateur surveille les contenus sur des plateformes numériques et fait respecter les règles de la communauté.;Bac à Bac+2;1 700€ → 2 800€/mois;Oui;Oui;;Oui;;;;Oui;;E1101;;
chef de publicité;"Publicité ; Communication ; Médias - multimédia - publicité";Marketing;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le chef de publicité gère la relation entre une agence et ses clients annonceurs. Il coordonne la création des campagnes, contrôle les budgets et s'assure que les objectifs marketing sont atteints.;Bac+4 à Bac+5 (communication, publicité);2 800€ → 5 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
styliste;"Mode - textile ; Art ; Luxe";Conception esthétique;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le styliste crée des collections de vêtements et accessoires. Il imagine les silhouettes, sélectionne les matières et supervise la réalisation des pièces pour des maisons de couture ou marques prêt-à-porter.;Bac+3 à Bac+5 (mode, arts appliqués);2 000€ → 5 000€/mois;;Oui;;Oui;;;;Oui;Oui;B1805;;
journaliste;Industrie;Conception technique, technologique ou informatique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le journaliste collecte l'information, la vérifie et la diffuse au public via des médias écrits, audiovisuels ou numériques.;Bac+3 à Bac+5 (école de journalisme);1 900€ → 4 000€/mois;;Oui;Oui;;;;;Oui;Oui;E1106;;
monteur;Industrie;Entretien - nettoyage;→ Fiche métier;Opérationnel;;;ISFJ;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;Le monteur assemble les séquences d'un film ou d'une vidéo pour en construire la narration et le rythme.;Bac+2 à Bac+5 (audiovisuel, cinéma);2 000€ → 4 000€/mois;;;Oui;;;Oui;Oui;Oui;;L1507;;
acheteur;"Commerce ; Industrie ; Agroalimentaire ; Automobile ; Aéronautique et transport aérien ; Grande distribution";Achat - approvisionnement;→ Fiche métier;Opérationnel;;;ISTJ;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;L'acheteur sélectionne les fournisseurs et négocie les contrats d'approvisionnement. Il optimise les coûts, garantit la qualité des produits et s'assure de la fiabilité des livraisons.;Bac+3 à Bac+5 (achats, commerce);2 800€ → 5 500€/mois;;;Oui;;;Oui;Oui;Oui;;M1101;;
costumier;"Cinéma - audiovisuel ; Spectacle - diverstissement ; Art";Conception artistique;→ Fiche métier;Opérationnel;;;INFJ;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;F;J;Le costumier crée ou loue les costumes des productions audiovisuelles et théâtrales. Il interprète les intentions du réalisateur, sélectionne et fait confectionner les tenues de chaque personnage.;BMA Arts textiles + expérience plateau;2 000€ → 4 000€/mois;;;Oui;;;Oui;Oui;Oui;;L1502;;
Administrateur système et réseaux;Informatique - numérique - digital;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;L'administrateur système et réseaux gère et maintient l'infrastructure informatique d'une organisation : serveurs, réseaux, sécurité.;Bac+2 à Bac+5 (informatique réseaux);2 500€ → 4 800€/mois;;;Oui;;;Oui;;Oui;Oui;M1839;;
CAP, Bac Pro Accueil relation clients et usagers;"Commerce ; Administration";Accueil - service - suivi client;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;T;J;Ces formations qualifient aux fonctions d'accueil dans les secteurs commerciaux et administratifs. Les titulaires accueillent, informent, orientent et fidélisent les clients ou usagers.;CAP ou Bac Pro Accueil (2-3 ans);1 550€ → 2 200€/mois;;;Oui;;;Oui;;Oui;Oui;;;
Architecte de réseaux;Informatique - numérique - digital;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;L'architecte de réseaux conçoit l'infrastructure réseau d'une organisation. Il définit les topologies, choisit les équipements et garantit la scalabilité du système.;Bac+5 (informatique, réseaux);4 000€ → 7 500€/mois;;;Oui;;;Oui;;Oui;Oui;M1839;;
Assistant cyber;Informatique - numérique - digital;Sécurité;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'assistant cybersécurité participe à la surveillance des systèmes, aux tests d'intrusion et à la mise en place des politiques de sécurité informatique.;Bac+2 à Bac+3 (cybersécurité, BTS SIO);2 200€ → 3 500€/mois;;;Oui;;;Oui;;Oui;Oui;L1505;;
Lobbyiste;Informatique - numérique - digital;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le lobbyiste défend les intérêts d'une organisation auprès des décideurs politiques en argumentant et en suivant l'évolution législative.;Bac+5 (Sciences Po, droit, grandes écoles);3 000€ → 8 000€/mois;;Oui;;Oui;;;;Oui;Oui;E1103;;
Chargé de méthode outils et qualité;"Informatique - numérique - digital ; Industrie";Qualité - conformité;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;Le chargé de méthode, outils et qualité améliore les processus informatiques. Il définit les bonnes pratiques, déploie les outils de suivi et assure la conformité des développements.;Bac+3 à Bac+5 (qualité, informatique);3 000€ → 5 000€/mois;;Oui;;;;;;Oui;Oui;;;
Chef de projet data et IA;"Gestion de projet ; Industrie ; Bâtiment - construction ; Banque - finance ; Commerce ; Aéronautique et transport aérien ; Énergie ; Médical - santé - Pharmaceutique ; Administration ; Transport - logistique - approvisionnement";Conception technique, technologique ou informatique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le chef de projet data et IA coordonne les équipes data science et engineering pour délivrer des projets d'intelligence artificielle alignés avec les besoins métier.;Bac+5 (informatique, data science);4 000€ → 7 000€/mois;;Oui;Oui;;Oui;;;Oui;Oui;H1105;;
Chef de projet informatique;"Gestion de projet ; Banque - finance ; Assurance ; Commerce ; Administration ; Médical - santé - Pharmaceutique ; Industrie";Conception technique, technologique ou informatique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le chef de projet informatique planifie, coordonne et supervise les projets IT de A à Z, en gérant les équipes, délais et budgets.;Bac+5 (informatique, école d'ingénieurs);3 500€ → 6 500€/mois;;Oui;;Oui;Oui;;;Oui;;M1827;;
